Food Category,Food Name,Stall Name,Price,Calories,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Egg-Free,Gluten Free,Dairy Free,Fish Free,Shellfish Free,Peanut free,Treenut Free,Soy Free,Wheat Free
Pasta Dishes,Pizza + Wings,Dream Café,130,750,32,70,35,6,6,1300,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pizza + Pasta + Wings,Dream Café,150,950,40,100,40,8,10,1500,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pizza + Pasta + Burger Steak,Dream Café,180,1100,45,90,55,10,8,1700,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pizza + Pasta + Sausage,Dream Café,180,1000,42,95,45,9,9,1600,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pizza + Pasta + Wings + Sausage,Dream Café,200,1300,50,120,60,12,12,1800,0,0,0,1,1,1,1,0,0
Pasta Dishes,Baked Mac Pasta,Dream Café,80,500,20,70,15,3,5,800,0,0,0,1,1,1,1,0,0
Pasta Dishes,Mac N Cheese,Dream Café,80,376,9,37.9,16,2.3,6.7,518,0,0,0,1,1,1,1,0,0
Pasta Dishes,Pesto,Dream Café,90,280,4,4,28,1,1,500,1,0,0,1,1,1,1,0,0
Pasta Dishes,Chicken Alfredo,Dream Café,90,570,30,42,30,2,3,1000,0,0,0,1,1,1,1,0,0
Pizza Dishes,Cheese Slice Pizza,Dream Café,75,272,12,33,10,2,4,640,0,0,0,1,1,1,1,0,0
Pizza Dishes,Pepperoni Slice Pizza,Dream Café,75,298,13,34,12,2,4,720,0,0,0,1,1,1,1,0,0
Pizza Dishes,Ham and Cheese Slice Pizza,Dream Café,75,280,14,32,11,2,3,700,0,0,0,1,1,1,1,0,0
Pizza Dishes,Hawaiian Slice Pizza,Dream Café,80,285,13,34,11,2,5,720,0,0,0,1,1,1,1,0,0
Pizza Dishes,HPB Slice Pizza,Dream Café,90,310,15,35,12,3,4,750,0,0,0,1,1,1,1,0,0
Pizza Dishes,Shawarma Slice Pizza,Dream Café,90,320,16,34,14,3,4,760,0,0,0,1,1,1,1,0,0
Pizza Dishes,All Cheese Pizza,Dream Café,100,520,25,40,30,3,7,950,0,0,0,1,1,1,1,0,0
Sandwiches,Burger,Grilled's,100,272,12,33,10,2,4,640,0,0,0,1,1,1,1,0,0
Mixed Dishes,Cheezy Spinach,Grilled's,125,180,8,10,12,2,3,350,0,0,0,1,1,1,1,0,0
Mixed Dishes,Triple Cheese Beef,Grilled's,100,320,20,15,20,1,2,700,0,0,0,1,1,1,1,0,0
Chicken Dishes,Chicken Wrap,Grilled's,95,290,20,25,12,3,2,600,0,0,0,1,1,1,1,0,0
Seafood Dishes,Lobster Ball,PotDog,65,250,20,5,15,1,2,600,1,1,1,0,0,1,1,0,1
Seafood Dishes,Crab Claw,PotDog,65,70,6,4,3,0,1,200,1,1,1,0,0,1,1,0,1
Seafood Dishes,Crablet,PotDog,65,60,6,4,2,0,1,180,1,1,1,0,0,1,1,0,1
Seafood Dishes,Kikiam,PotDog,55,50,5,2,2,0,0,150,1,1,1,0,0,1,1,0,1
